DIR;DIRECTEUR;6
PROVI;PROVISEUR;4
CENS;CENSEUR;6
CENS-CRM;CENSEUR-CRM;6
CT;CHEF TRAVAUX;6
SG;SURVEILLANT GENERAL;6
SG-CRM;SURVEILLANT GENERAL CRM;6
ENS;ENSEIGNANT;1
AP;ANIMATEUR PEDAGOGIQUE;1
INT;INTENDANT;1
ECO;ECONOME;1
IPR;INSPECTEUR PEDAGOGIQUE REGIONAL;1
ICR;INSPECTEUR COORDONATEUR REGIONAL;1
CP;CORRESPONDANT PEDAGOGIQUE;1
CONS PEDA;CONSEILLER PEDAGOGIQUE;1
DRES;DELEGUE REGIONAL DES ENSEIGNEMENTS SECONDAIRES;1
DDES;DELEGUE DEPARTEMENTAL DES ENSEIGNEMENTS SECONDAIRES;1
SDAG;S/DIRECTEUR DES AFFAIRES GENERALES;1
SDECC;S/DIRECTEUR DES EXAMENS ET CONCOURS DU CAMEROUN;1
CO;CONSEILLER D'ORIENTATION;1
CSS;CHEF SERVICE SPORT;1
CSO;CHEF SERVICE D'ORIENTATIOIN;1
SS;SURVEILLANT DE SECTEUR;1
IPN;INSPECTEUR PEDAGOGIQUE NATIONAL;1
ICG;INSPECTEUR COORDONATEUR NATIONAL;1
IPN-CS;IPN - CHEF DE SECTION;1
IGE;INSPECTEUR GENERAL DES ENSEIGNEMENTS;1
MON;MONITEUR;1
MAINT;MAINTENANCIER;1
ADMIN RES;ADMINISTRATEUR RESEAU;1
